gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.9	arm64
gir1.2-geoclue-2.0	2.7.0-3ubuntu7	arm64
gir1.2-girepository-2.0	1.80.1-1	arm64
gir1.2-glib-2.0	2.80.0-6ubuntu3.8	arm64
gir1.2-gmenu-3.0	3.36.0-1.1ubuntu3	arm64
gir1.2-gnomeautoar-0.1	0.4.4-2build4	arm64
gir1.2-gnomebg-4.0	44.0-5build2	arm64
gir1.2-gnomebluetooth-3.0	46.0-1ubuntu1	arm64
gir1.2-gnomedesktop-3.0	44.0-5build2	arm64
gir1.2-gnomedesktop-4.0	44.0-5build2	arm64
gir1.2-graphene-1.0	1.10.8-3build2	arm64
gir1.2-gst-plugins-base-1.0	1.24.2-1ubuntu0.4	arm64
gir1.2-gstreamer-1.0	1.24.2-1ubuntu0.1	arm64
gir1.2-gtk-3.0	3.24.41-4ubuntu1.3	arm64
gir1.2-gtk-4.0	4.14.5+ds-0ubuntu0.10	arm64
gir1.2-gtksource-300	299.0.4-3build1	arm64
gir1.2-gtksource-4	4.8.4-5build4	arm64
gir1.2-gtop-2.0	2.41.3-1ubuntu1~2	arm64
gir1.2-gudev-1.0	1:238-5ubuntu1	arm64
gir1.2-gweather-4.0	4.4.2-1build1	arm64
gir1.2-handy-1	1.8.3-1build2	arm64
gir1.2-harfbuzz-0.0	8.3.0-2build2	arm64
gir1.2-ibus-1.0	1.5.29-2	arm64
gir1.2-javascriptcoregtk-4.1	2.52.6-0ubuntu0.24.04.1	arm64
gir1.2-javascriptcoregtk-6.0	2.52.6-0ubuntu0.24.04.1	arm64
gir1.2-mutter-14	46.2-1ubuntu0.24.04.16	arm64
gir1.2-nm-1.0	1.46.0-1ubuntu2.8	arm64
gir1.2-nma4-1.0	1.10.6-3build2	arm64
gir1.2-notify-0.7	0.8.3-1build2	arm64
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5	arm64
gir1.2-pango-1.0	1.52.1+ds-1build1	arm64
gir1.2-peas-1.0	1.36.0-3build4	arm64
gir1.2-polkit-1.0	124-2ubuntu1.24.04.3	arm64
gir1.2-rb-3.0	3.4.7-2ubuntu6	arm64
gir1.2-rsvg-2.0	2.58.0+dfsg-1build1	arm64
gir1.2-secret-1	0.21.4-1build3	arm64
gir1.2-snapd-2	1.64-0ubuntu5	arm64
gir1.2-soup-3.0	3.4.4-5ubuntu0.7	arm64
gir1.2-tepl-6	6.8.0-2build4	arm64
gir1.2-totem-1.0	43.0-2ubuntu4	arm64
gir1.2-totemplparser-1.0	3.26.6-1build5	arm64
gir1.2-udisks-2.0	2.10.1-6ubuntu1.5	arm64
gir1.2-unity-7.0	7.1.4+19.04.20190319-6build4	arm64
gir1.2-upowerglib-1.0	1.90.3-1	arm64
gir1.2-vte-2.91	0.76.0-1ubuntu0.1	arm64
gir1.2-webkit-6.0	2.52.6-0ubuntu0.24.04.1	arm64
gir1.2-webkit2-4.1	2.52.6-0ubuntu0.24.04.1	arm64
